#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop,
96,Bosnia and Herzegovina,"400,043",,"16,180 ",,"377,828",,"6,035",,"123,116","4,980","1,875,348","577,151","3,249,317 ",Europe,82012,,,"1,857",
97,Oman,"398,775",,"4,260 ",,"384,669",,"9,846",2,"74,901",800,"25,000,000","4,695,724","5,323,993 ",Asia,"131,2500",,,"1,849",
98,North Macedonia,"344,146",,"9,564 ",,"334,335",,247,,"165,351","4,595","2,141,032","1,028,697","2,081,304 ",Europe,62181,,,119,
99,Kenya,"339,671",,"5,678 ",,"333,230",,763,1,"6,042",101,"3,923,620","69,796","56,215,221 ",Africa,"1659,90114",,,14,
100,Zambia,"333,685",,"4,017 ",,"329,652",,16,,"17,138",206,"3,750,980","192,652","19,470,234 ",Africa,"584,8475",,,0.8,
101,Albania,"333,046",,"3,592 ",,"327,852",,"1,602",,"116,191","1,253","1,941,032","677,173","2,866,374 ",Europe,97981,,,559,
102,Botswana,"326,344",,"2,790 ",,"322,955",,599,1,"133,684","1,143","2,026,898","830,300","2,441,162 ",Africa,78751,,,245,
103,Luxembourg,"297,757",,"1,133 ",,"288,991",,"7,633",,"463,528","1,764","4,412,567","6,869,188","642,371 ",Europe,25670,,,"11,883",
104,Montenegro,"283,055",,"2,787 ",,"279,833",,435,6,"450,760","4,438","2,651,294","4,222,142","627,950 ",Europe,22250,,,693,
105,Algeria,"270,862",,"6,881 ",,"182,437",,"81,544",,"5,973",152,"230,861","5,091","45,350,148 ",Africa,"1676,591196",,,"1,798",
106,Nigeria,"266,192",,"3,155 ",,"259,532",,"3,505",11,"1,228",15,"5,441,162","25,104","216,746,934 ",Africa,"81468,70040",,,16,
107,Zimbabwe,"257,893",,"5,606 ",,"251,904",,383,12,"16,821",366,"2,525,756","164,744","15,331,428 ",Africa,"592,7356",,,25,
108,Uzbekistan,"244,739",,"1,637 ",,"241,486",,"1,616",23,"7,118",48,"1,377,915","40,077","34,382,084 ",Asia,"14021,00325",,,47,
109,Brunei ,"241,044",,225 ,,"222,140",,"18,679",3,"541,148",505,"717,784","1,611,437","445,431 ",Asia,"21,9801",,,"41,935",
110,Mozambique,"230,475",,"2,224 ",,"228,176",,75,11,"6,965",67,"1,371,127","41,437","33,089,461 ",Africa,"14414,87824",,,2,
111,Martinique,"223,728",,"1,047 ",,N/A,N/A,N/A,8,"598,064","2,799","828,928","2,215,870","374,087 ",North America,23570,,,"594,987",
112,Laos,"216,277",,758 ,,N/A,N/A,N/A,,"28,910",101,"1,233,207","164,845","7,481,023 ",Asia,"359,8696",,,"27,785",
113,Iceland,"206,571",,219 ,,N/A,N/A,N/A,2,"598,075",634,"1,996,384","5,780,036","345,393 ",Europe,"21,5770",,,"378,314",
114,Kyrgyzstan,"206,452",,"2,991 ",,"196,406",,"7,055",131,"30,684",445,"1,907,195","283,460","6,728,271 ",Asia,"332,2504",,,"1,049",
115,Afghanistan,"203,574",,"7,826 ",,"180,844",,"14,904","1,124","4,995",192,"1,138,003","27,923","40,754,388 ",Asia,"2005,20836",,,366,
116,El Salvador,"201,785",,"4,230 ",,"179,410",,"18,145",8,"30,805",646,"2,610,114","398,467","6,550,389 ",North America,"321,5493",,,"2,770",
117,Guadeloupe,"196,270",,993 ,,N/A,N/A,N/A,19,"490,928","2,484","938,039","2,346,306","399,794 ",North America,24030,,,"482,816",
118,Maldives,"185,364",,308 ,,"163,687",,"21,369",25,"342,642",569,"2,213,831","4,092,223","540,985 ",Asia,"31,7560",,,"39,500",
119,Trinidad and Tobago,"184,854",,"4,255 ",,"180,224",,375,8,"131,420","3,025","856,673","609,045","1,406,585 ",North America,83312,,,267,
120,Ghana,"170,894",,"1,460 ",,"169,218",,216,2,"5,275",45,"2,518,296","77,736","32,395,450 ",Africa,"19022,18913",,,7,
121,Namibia,"169,946",,"4,080 ",,"165,826",,40,,"64,523","1,549","1,062,663","403,460","2,633,874 ",Africa,156462,,,15,
122,Uganda,"169,473",,"3,630 ",,"100,431",,"65,412",3,"3,499",75,"3,012,408","62,198","48,432,863 ",Africa,"28613,34216",,,"1,351",
123,Jamaica,"151,931",,"3,320 ",,"99,392",,"49,219",,"50,897","1,112","1,183,986","396,633","2,985,094 ",North America,208993,,,"16,488",
124,Cambodia,"137,995",,"3,056 ",,"134,934",,5,,"8,038",178,"3,091,420","180,062","17,168,639 ",Asia,"1245,6186",,,0.3,
125,Rwanda,"132,584",,"1,467 ",,"131,061",,56,,"9,748",108,"5,841,019","429,472","13,600,464 ",Africa,"1039,2712",,,4,
126,Cameroon,"123,629",,"1,960 ",,"118,616",,"3,053",13,"4,429",70,"1,751,774","62,762","27,911,548 ",Africa,"22614,24116",,,109,
127,Malta,"115,459",,808 ,,"113,949",,702,4,"260,023","1,820","2,079,902","4,684,116","444,033 ",Europe,45500,,,"1,581",
128,Angola,"103,131",,"1,917 ",,"101,155",,59,,"2,944",55,"1,499,795","42,818","35,027,343 ",Africa,"34018,27223",,,2,
129,Barbados,"103,014",,560 ,,"102,024",,430,,"357,659","1,944","770,100","2,673,745","288,023 ",North America,35140,,,"1,493",
130,Channel Islands,"94,480",,205 ,,"93,703",,572,,"535,410","1,162","1,252,808","7,099,551","176,463 ",Europe,28610,,,"3,241",
131,French Guiana,"94,259",,411 ,,"11,254",,"82,594",2,"300,026","1,308","651,257","2,072,951","314,169 ",South America,37640,,,"262,897",
132,DRC,"93,219",,"1,445 ",,"83,560",,"8,214",,979,15,"846,704","8,890","95,240,792 ",Africa,"1,02265,911112",,,86,
133,Senegal,"88,679",,"1,968 ",,"86,609",,102,,"5,023",111,"1,146,543","64,946","17,653,671 ",Africa,"1998,97015",,,6,
134,Malawi,"88,073",,"2,683 ",,"84,974",,416,67,"4,364",133,"619,708","30,708","20,180,839 ",Africa,"2297,52233",,,21,
135,Ivory Coast,"87,830",,829 ,,"86,970",,31,,"3,166",30,"1,644,475","59,277","27,742,298 ",Africa,"31633,46517",,,1,
136,Suriname,"81,228",,"1,392 ",,N/A,N/A,N/A,,"136,099","2,332","239,603","401,459","596,831 ",South America,74292,,,"50,580",
137,French Polynesia,"76,764",,649 ,,N/A,N/A,N/A,7,"270,140","2,284",,,"284,164 ",Australia/Oceania,4438,,,"149,966",
138,New Caledonia,"74,440",,314 ,,"73,959",,167,9,"255,882","1,079","98,964","340,182","290,915 ",Australia/Oceania,49263,,,574,
139,Eswatini,"73,558",,"1,422 ",,"72,088",,48,,"62,084","1,200","1,045,903","882,755","1,184,817 ",Africa,168331,,,41,
140,Guyana,"71,443",,"1,281 ",,"70,149",,13,,"89,973","1,613","702,591","884,825","794,045 ",South America,116201,,,16,
141,Belize,"68,957",,687 ,,"68,246",,24,6,"167,294","1,667","576,016","1,397,453","412,190 ",North America,66001,,,58,
142,Fiji,"68,270",,878 ,,"66,327",,"1,065",,"75,066",965,"664,357","730,491","909,466 ",Australia/Oceania,"131,0361",,,"1,171",
143,Madagascar,"66,749",,"1,411 ",,"65,285",,53,,"2,288",48,"515,324","17,661","29,178,077 ",Africa,"43720,67957",,,2,
144,Sudan,"63,509",,"4,972 ",,"57,652",,885,,"1,381",108,"562,941","12,240","45,992,020 ",Africa,"7249,25082",,,19,
145,Mauritania,"63,392",,997 ,,"62,323",,72,,"12,932",203,"998,976","203,790","4,901,981 ",Africa,"774,9175",,,15,
146,Cabo Verde,"62,553",,410 ,,"62,008",,135,23,"110,191",722,"401,622","707,482","567,678 ",Africa,"91,3851",,,238,
147,Bhutan,"62,380",,21 ,,"61,564",,795,,"79,168",27,"2,303,734","2,923,739","787,941 ",Asia,"1337,5210",,,"1,009",
148,Syria,"57,367",,"3,163 ",,"54,195",,9,,"2,962",163,"146,269","7,553","19,364,809 ",Asia,"3386,122132",,,0.5,
149,Burundi,"50,470",,38 ,,"50,183",,249,,"3,998",3,"345,742","27,386","12,624,840 ",Africa,"250332,23337",,,20,
150,Seychelles,"49,380",,171 ,,"48,626",,583,,"496,651","1,720",,,"99,426 ",Africa,2581,,,"5,864",
151,Gabon,"48,945",,306 ,,"48,392",,247,,"20,993",131,"1,619,864","694,763","2,331,533 ",Africa,"487,6191",,,106,
152,Andorra,"46,588",,155 ,,"46,319",,114,14,"601,423","2,001","249,838","3,225,256","77,463 ",Europe,25000,,,"1,472",
153,Papua New Guinea,"45,550",,668 ,,"43,982",,900,7,"4,902",72,"249,149","26,813","9,292,169 ",Australia/Oceania,"20413,91037",,,97,
154,Curaçao,"45,489",,293 ,,"44,720",,476,3,"274,810","1,770","496,693","3,000,640","165,529 ",North America,45650,,,"2,876",
155,Aruba,"43,334",,232 ,,"42,438",,664,2,"402,699","2,156","177,885","1,653,068","107,609 ",North America,24641,,,"6,170",
156,Mauritius,"40,718",,"1,031 ",,"39,006",,681,,"31,943",809,"358,675","281,374","1,274,727 ",Africa,"311,2364",,,534,
157,Mayotte,"40,339",,187 ,,N/A,N/A,N/A,,"140,918",653,"176,919","618,038","286,259 ",Africa,"71,5312",,,"129,910",
158,Tanzania,"40,054",,845 ,,N/A,N/A,N/A,7,633,13,,,"63,298,550 ",Africa,"1,58074,910",,,617,
159,Togo,"39,310",,290 ,,"39,006",,14,,"4,528",33,"798,514","91,986","8,680,837 ",Africa,"22129,93411",,,2,
160,Guinea,"38,047",,456 ,,"37,118",,473,8,"2,744",33,"660,107","47,607","13,865,691 ",Africa,"36430,40721",,,34,
161,Isle of Man,"38,008",,116 ,,N/A,N/A,N/A,,"443,335","1,353","150,753","1,758,422","85,732 ",Europe,27391,,,"129,450",
162,Bahamas,"37,386",,833 ,,"36,270",,283,2,"93,345","2,080","256,731","641,001","400,516 ",North America,114812,,,707,
163,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"703,959",569,"778,000","15,802,409","49,233 ",Europe,"11,7580",,,"547,133",
164,Lesotho,"34,490",,706 ,,"25,980",,"7,804",,"15,852",324,"431,221","198,199","2,175,699 ",Africa,"633,0825",,,"3,587",
165,Haiti,"33,828",,860 ,,"32,729",,239,,"2,896",74,"132,422","11,337","11,680,283 ",North America,"34513,58288",,,20,
166,Mali,"32,738",,742 ,,"31,912",,84,,"1,525",35,"771,249","35,916","21,473,764 ",Africa,"65628,94028",,,4,
167,Cayman Islands,"31,096",,35 ,,"8,553",,"22,508",1,"462,208",520,"222,773","3,311,280","67,277 ",North America,"21,9220",,,"334,557",
168,Saint Lucia,"29,550",,404 ,,"29,095",,51,,"159,632","2,182","210,983","1,139,752","185,113 ",North America,64581,,,276,
169,Benin,"27,782",,163 ,,"27,464",,155,5,"2,173",13,"604,310","47,268","12,784,726 ",Africa,"46078,43421",,,12,
170,Somalia,"27,243",,"1,361 ",,"13,182",,"12,700",,"1,618",81,"400,466","23,778","16,841,795 ",Africa,"61812,37542",,,754,
171,Congo,"24,837",,386 ,,"24,006",,445,,"4,284",67,"347,815","59,991","5,797,805 ",Africa,"23315,02017",,,77,
172,Timor-Leste,"23,303",,138 ,,"23,102",,63,,"17,017",101,"278,529","203,391","1,369,429 ",Asia,"599,9235",,,46,
